id,Last name,First name,cust_zip_code,city,birthdate,street,housenr,stateCode,state,state_1,population,nrPerState,label,Comment
" 44",rgh-firstname,wzkjq-name," 19000",hkm-city,1974/08/12,yixf-street," 134",CALIFORNIA,CA,CALIFORNIA,39536653," 7",N-Z,Some comment about California
" 177",ahc-firstname,nltvw-name," 19520",uxf-city,1958/03/16,fwsy-street," 131",CALIFORNIA,CA,CALIFORNIA,39536653," 7",N-Z,Some comment about California
" 76",ixe-firstname,qsfih-name," 16860",qvr-city,1987/01/07,qean-street," 159",COLORADO,CO,COLORADO,5607154," 5",N-Z,no comment.
" 199",azn-firstname,ssbzy-name," 11440",ire-city,1954/11/16,sjou-street," 55",COLORADO,CO,COLORADO,5607154," 5",N-Z,no comment.
" 188",qmd-firstname,vrnml-name," 15860",mxe-city,1966/07/23,ybfc-street," 148",DELAWARE,DE,DELAWARE,961939," 2",N-Z,no comment.
" 40",tml-firstname,zxydx-name," 14680",jda-city,1974/05/29,wfjn-street," 157",DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,693972," 4",N-Z,no comment.
" 58",rwr-firstname,tqpbq-name," 19140",zpd-city,1978/08/23,npvb-street," 190",DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,693972," 4",N-Z,no comment.
" 89",mcv-firstname,ziomm-name," 12940",iwq-city,1950/10/22,hqgj-street," 140",DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,693972," 4",N-Z,no comment.
" 65",phc-firstname,nvxim-name," 19220",vgg-city,1991/01/24,juok-street," 106",FEDERATED STATES OF MICRONESIA,FM,,," 1",N-Z,no comment.
" 165",wgt-firstname,kjypq-name," 14060",yrs-city,1978/06/09,ijks-street," 144",COLORADO,CO,COLORADO,5607154," 5",A-M,no comment.
" 167",gtk-firstname,ihkkq-name," 15740",qbg-city,1970/06/18,odsg-street," 95",COLORADO,CO,COLORADO,5607154," 5",A-M,no comment.
" 86",fwy-firstname,hznby-name," 13680",wbi-city,1970/07/25,mxui-street," 170",CONNECTICUT,CT,CONNECTICUT,3588184," 1",A-M,no comment.
" 146",fdq-firstname,bwyxl-name," 13160",ngn-city,1954/07/05,nkco-street," 120",DELAWARE,DE,DELAWARE,961939," 2",A-M,no comment.
" 150",xcd-firstname,erulk-name," 11420",kzt-city,1990/02/07,bmcb-street," 160",DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,693972," 4",A-M,no comment.
" 2",tum-firstname,flhxu-name," 17520",buo-city,1966/04/24,wfyz-street," 96",GEORGIA,GA,GEORGIA,10429379," 6",A-M,no comment.
" 81",hcd-firstname,bdncx-name," 11260",xcl-city,1970/07/02,jvlp-street," 49",GEORGIA,GA,GEORGIA,10429379," 6",A-M,no comment.
" 109",fqf-firstname,ffbgl-name," 11680",npo-city,1974/12/07,vvan-street," 175",GEORGIA,GA,GEORGIA,10429379," 6",A-M,no comment.
" 113",xhg-firstname,lkfyf-name," 13260",myb-city,1958/10/27,jjcn-street," 128",GEORGIA,GA,GEORGIA,10429379," 6",A-M,no comment.
" 57",vzi-firstname,fgxvr-name," 17520",lcf-city,1958/11/01,nbdv-street," 10",GUAM,GU,,," 2",A-M,no comment.
" 82",tks-firstname,ikedo-name," 17460",odl-city,1958/08/25,iaaq-street," 8",GUAM,GU,,," 2",A-M,no comment.
" 110",vog-firstname,foygy-name," 16920",mun-city,1970/07/03,urct-street," 153",HAWAII,HI,HAWAII,1427538," 3",A-M,no comment.
" 143",ufb-firstname,iezfw-name," 18800",fyv-city,1970/06/05,yvao-street," 53",HAWAII,HI,HAWAII,1427538," 3",A-M,no comment.
" 121",ced-firstname,lunca-name," 13700",wjp-city,1979/01/06,racn-street," 54",IDAHO,ID,,," 2",A-M,no comment.
" 33",yts-firstname,ldhyr-name," 12000",auk-city,1986/11/14,abph-street," 147",INDIANA,IN,INDIANA,6666818," 6",A-M,no comment.
" 84",ssz-firstname,lafhf-name," 19560",wwp-city,1951/01/25,mxmq-street," 96",INDIANA,IN,INDIANA,6666818," 6",A-M,no comment.
" 59",ayq-firstname,ieigg-name," 12960",ljc-city,1962/07/05,dnjz-street," 163",FLORIDA,FL,FLORIDA,20984400," 5",A-M,Some remark on Floridians
" 70",pvw-firstname,aavpj-name," 13780",lai-city,1954/09/23,nygu-street," 171",FLORIDA,FL,FLORIDA,20984400," 5",A-M,Some remark on Floridians
" 125",ovv-firstname,ejdoc-name," 14920",ocs-city,1954/11/15,bwhd-street," 169",FLORIDA,FL,FLORIDA,20984400," 5",A-M,Some remark on Floridians
" 96",kzs-firstname,reeba-name," 13100",zhc-city,1966/07/08,abmv-street," 88",FLORIDA,FL,FLORIDA,20984400," 5",N-Z,Some remark on Floridians
" 178",cwd-firstname,ujfpc-name," 13800",gki-city,1974/10/10,sgiq-street," 12",FLORIDA,FL,FLORIDA,20984400," 5",N-Z,Some remark on Floridians
" 30",jhh-firstname,vtuoz-name," 17620",vad-city,1982/05/05,kzup-street," 79",GEORGIA,GA,GEORGIA,10429379," 6",N-Z,no comment.
" 51",lnw-firstname,zhmbl-name," 17460",hse-city,1986/12/21,scis-street," 97",GEORGIA,GA,GEORGIA,10429379," 6",N-Z,no comment.
" 56",zpy-firstname,yaeni-name," 19100",sen-city,1954/12/10,sbsw-street," 158",HAWAII,HI,HAWAII,1427538," 3",N-Z,no comment.
" 71",rsf-firstname,nbjcj-name," 12000",kjl-city,1986/06/30,ijsb-street," 123",IDAHO,ID,,," 2",N-Z,no comment.
" 5",onx-firstname,oxhyr-name," 15180",bpn-city,1970/11/14,pksn-street," 133",INDIANA,IN,INDIANA,6666818," 6",N-Z,no comment.
" 129",ydp-firstname,toeur-name," 17260",dpz-city,1962/11/02,atag-street," 60",INDIANA,IN,INDIANA,6666818," 6",N-Z,no comment.
" 55",vhd-firstname,usbgq-name," 14080",dsb-city,1958/04/01,ggoc-street," 54",KANSAS,KS,KANSAS,2913123," 4",N-Z,no comment.
" 97",gcp-firstname,shybc-name," 10660",ahg-city,1950/12/15,hrqy-street," 174",KANSAS,KS,KANSAS,2913123," 4",N-Z,no comment.
" 168",uhh-firstname,yhnuk-name," 16720",hoo-city,1978/06/20,vrcy-street," 186",KANSAS,KS,KANSAS,2913123," 4",N-Z,no comment.
" 17",hhu-firstname,rdjin-name," 14480",lpc-city,1958/11/16,wxik-street," 145",KENTUCKY,KY,KENTUCKY,4454189," 4",N-Z,no comment.
" 166",fpi-firstname,zegdj-name," 13380",znp-city,1978/04/26,pdlh-street," 187",KENTUCKY,KY,KENTUCKY,4454189," 4",N-Z,no comment.
" 80",tag-firstname,njfoe-name," 16580",tnr-city,1966/12/04,dhky-street," 108",LOUISIANA,LA,LOUISIANA,4684333," 4",N-Z,no comment.
" 163",hsh-firstname,qqdvp-name," 18240",bqf-city,1982/01/01,nupe-street," 153",LOUISIANA,LA,LOUISIANA,4684333," 4",N-Z,no comment.
" 19",dxw-firstname,xgrzc-name," 18900",vpq-city,1990/11/16,wzjh-street," 58",MAINE,ME,MAINE,1335907," 3",N-Z,no comment.
" 87",rzk-firstname,ztpoa-name," 18500",qum-city,1970/07/26,blqr-street," 152",MAINE,ME,MAINE,1335907," 3",N-Z,no comment.
" 108",qdw-firstname,rxxeb-name," 17600",yks-city,1970/11/15,zvsf-street," 74",MARSHALL ISLANDS,MH,,," 3",N-Z,no comment.
" 151",mlq-firstname,atrip-name," 14440",agk-city,1986/11/08,qhdv-street," 29",INDIANA,IN,INDIANA,6666818," 6",A-M,no comment.
" 190",qnd-firstname,jdzou-name," 17600",fzi-city,1958/06/12,ewtx-street," 174",INDIANA,IN,INDIANA,6666818," 6",A-M,no comment.
" 115",ztu-firstname,avceb-name," 10020",ogo-city,1974/05/26,iuob-street," 31",KANSAS,KS,KANSAS,2913123," 4",A-M,no comment.
" 175",zwt-firstname,lnaxv-name," 14740",lok-city,1962/10/06,mmdu-street," 149",KENTUCKY,KY,KENTUCKY,4454189," 4",A-M,no comment.
" 194",sdy-firstname,gqugh-name," 14360",pwi-city,1974/03/11,qybh-street," 95",KENTUCKY,KY,KENTUCKY,4454189," 4",A-M,no comment.
" 50",nht-firstname,hqafg-name," 16080",gfu-city,1951/01/12,spsq-street," 45",LOUISIANA,LA,LOUISIANA,4684333," 4",A-M,no comment.
" 140",rxo-firstname,ddwqy-name," 18720",nsh-city,1974/06/22,rugn-street," 105",LOUISIANA,LA,LOUISIANA,4684333," 4",A-M,no comment.
" 91",hoq-firstname,cnabb-name," 16300",tuw-city,1962/06/17,ujvv-street," 61",MAINE,ME,MAINE,1335907," 3",A-M,no comment.
" 114",hrh-firstname,bkhya-name," 11500",byw-city,1990/03/03,oubr-street," 41",MARSHALL ISLANDS,MH,,," 3",A-M,no comment.
" 196",fay-firstname,fyrln-name," 10820",qtd-city,1974/11/04,yrtc-street," 120",MARSHALL ISLANDS,MH,,," 3",A-M,no comment.
" 6",sce-firstname,fiqjz-name," 16020",fnn-city,1954/09/24,wbhg-street," 35",MARYLAND,MD,MARYLAND,6052177," 4",A-M,no comment.
" 20",vbe-firstname,ehgrn-name," 17500",cik-city,1978/05/21,ucnw-street," 135",MARYLAND,MD,MARYLAND,6052177," 4",A-M,no comment.
" 78",xlc-firstname,eegsa-name," 12680",byk-city,1954/04/23,beul-street," 56",MARYLAND,MD,MARYLAND,6052177," 4",A-M,no comment.
" 99",fxc-firstname,jteco-name," 19760",agr-city,1986/05/06,dzxc-street," 108",MARYLAND,MD,MARYLAND,6052177," 4",A-M,no comment.
" 95",vjd-firstname,fsgwf-name," 12460",ads-city,1970/11/29,yeou-street," 10",MASSACHUSETTS,MA,MASSACHUSETTS,6859819," 4",A-M,no comment.
" 153",kdu-firstname,cvygb-name," 17300",etl-city,1954/11/13,bdxo-street," 43",MASSACHUSETTS,MA,MASSACHUSETTS,6859819," 4",A-M,no comment.
" 147",yqh-firstname,lkkwb-name," 19580",pwn-city,1954/10/16,rgdl-street," 185",MINNESOTA,MN,MINNESOTA,5576606," 3",A-M,no comment.
" 29",nyb-firstname,mwfnd-name," 19760",bbu-city,1986/09/23,apdi-street," 91",MISSISSIPPI,MS,MISSISSIPPI,2984100," 4",A-M,no comment.
" 35",sbi-firstname,cpenz-name," 16380",ssl-city,1962/08/19,kilz-street," 44",MISSISSIPPI,MS,MISSISSIPPI,2984100," 4",A-M,no comment.
" 27",ecx-firstname,mjlsk-name," 10800",yxu-city,1950/12/11,vttb-street," 195",MISSOURI,MO,MISSOURI,6113532," 6",A-M,no comment.
" 106",wxk-firstname,fzjnb-name," 12300",fda-city,1974/03/26,aweg-street," 7",MISSOURI,MO,MISSOURI,6113532," 6",A-M,no comment.
" 127",yzv-firstname,asofx-name," 19600",ixo-city,1982/07/09,slmy-street," 198",MISSOURI,MO,MISSOURI,6113532," 6",A-M,no comment.
" 14",kkb-firstname,gkuuo-name," 13560",xdt-city,1962/04/07,sdoj-street," 35",MONTANA,MT,MONTANA,1050493," 5",A-M,no comment.
" 137",ysk-firstname,mpgcz-name," 11860",eva-city,1978/08/23,nedx-street," 101",MONTANA,MT,MONTANA,1050493," 5",A-M,no comment.
" 16",ynb-firstname,ncayz-name," 15720",lxj-city,1974/04/27,mdtb-street," 109",MASSACHUSETTS,MA,MASSACHUSETTS,6859819," 4",N-Z,no comment.
" 164",uoi-firstname,rxlox-name," 15600",uvd-city,1954/04/03,gjmv-street," 197",MASSACHUSETTS,MA,MASSACHUSETTS,6859819," 4",N-Z,no comment.
" 103",rib-firstname,nfurq-name," 17080",xcp-city,1962/11/10,rqui-street," 164",MICHIGAN,MI,MICHIGAN,9962311," 1",N-Z,no comment.
" 72",gkq-firstname,syjxh-name," 19960",rmd-city,1978/10/26,qmyp-street," 161",MINNESOTA,MN,MINNESOTA,5576606," 3",N-Z,no comment.
" 170",xqq-firstname,xoiyz-name," 14560",kea-city,1986/08/10,bivl-street," 177",MINNESOTA,MN,MINNESOTA,5576606," 3",N-Z,no comment.
" 173",ldk-firstname,najqw-name," 10220",bci-city,1982/04/01,qxuf-street," 84",MISSISSIPPI,MS,MISSISSIPPI,2984100," 4",N-Z,no comment.
" 185",zrg-firstname,yqqmt-name," 12780",hxs-city,1954/08/12,mdxh-street," 190",MISSISSIPPI,MS,MISSISSIPPI,2984100," 4",N-Z,no comment.
" 54",prz-firstname,yvfqz-name," 11260",wjl-city,1982/05/06,fbzd-street," 97",MISSOURI,MO,MISSOURI,6113532," 6",N-Z,no comment.
" 94",uyu-firstname,tieqq-name," 17740",wea-city,1966/10/31,abpl-street," 187",MISSOURI,MO,MISSOURI,6113532," 6",N-Z,no comment.
" 186",qtk-firstname,osbyt-name," 14900",ltd-city,1990/06/21,quqn-street," 59",MISSOURI,MO,MISSOURI,6113532," 6",N-Z,no comment.
" 144",bud-firstname,vvmzr-name," 15120",ggo-city,1966/07/24,ozcj-street," 127",MONTANA,MT,MONTANA,1050493," 5",N-Z,no comment.
" 155",xdk-firstname,wojgm-name," 13340",meq-city,1982/10/20,ttix-street," 61",MONTANA,MT,MONTANA,1050493," 5",N-Z,no comment.
" 198",jkr-firstname,rwplk-name," 18080",khf-city,1978/02/28,ihkv-street," 134",MONTANA,MT,MONTANA,1050493," 5",N-Z,no comment.
" 172",tyi-firstname,pfrmg-name," 15360",tjx-city,1979/01/30,lyhr-street," 78",NEBRASKA,NE,NEBRASKA,1920076," 4",N-Z,no comment.
" 182",oyf-firstname,nmlqw-name," 12640",tmv-city,1962/02/26,eqss-street," 141",NEBRASKA,NE,NEBRASKA,1920076," 4",N-Z,no comment.
" 28",aoq-firstname,wdjsi-name," 13660",smo-city,1954/02/01,kako-street," 7",NEVADA,NV,,," 6",N-Z,no comment.
" 36",anr-firstname,rxtbg-name," 14720",bqc-city,1958/08/10,pudg-street," 140",NEVADA,NV,,," 6",N-Z,no comment.
" 62",yzt-firstname,yyixf-name," 18020",lwx-city,1974/01/29,iede-street," 120",NEVADA,NV,,," 6",N-Z,no comment.
" 85",hbu-firstname,okyny-name," 16800",yok-city,1978/03/28,ipjz-street," 135",NEVADA,NV,,," 6",N-Z,no comment.
" 148",aco-firstname,uokzd-name," 13940",wyf-city,1966/02/07,lbhd-street," 23",NEW HAMPSHIRE,NH,,," 4",N-Z,no comment.
" 3",gfe-firstname,xthfg-name," 12560",vtz-city,1990/01/11,doxx-street," 46",NEW JERSEY,NJ,,," 5",N-Z,no comment.
" 141",xha-firstname,zuxwq-name," 12240",jii-city,1974/04/22,kawh-street," 97",NEW JERSEY,NJ,,," 5",N-Z,no comment.
" 160",mhg-firstname,sczwy-name," 17860",izz-city,1970/08/25,xehg-street," 2",NEW JERSEY,NJ,,," 5",N-Z,no comment.
" 79",ihs-firstname,phevp-name," 16120",adc-city,1978/04/25,voig-street," 98",NEW MEXICO,NM,,," 2",N-Z,no comment.
" 100",icx-firstname,qvaar-name," 16120",boc-city,1978/08/04,bfzf-street," 12",NEW MEXICO,NM,,," 2",N-Z,no comment.
" 4",bnl-firstname,ulzrz-name," 11620",prz-city,1966/08/02,bxqn-street," 104",NEW YORK,NY,NEW YORK,19849399," 5",N-Z,New York rocks!
" 66",xtn-firstname,piyfg-name," 13760",nde-city,1954/07/22,vfrv-street," 11",NEW YORK,NY,NEW YORK,19849399," 5",N-Z,New York rocks!
" 132",kif-firstname,hzetq-name," 14280",aep-city,1990/11/26,rrsr-street," 118",NEBRASKA,NE,NEBRASKA,1920076," 4",A-M,no comment.
" 142",dfg-firstname,aarej-name," 14680",exu-city,1958/04/17,adua-street," 11",NEBRASKA,NE,NEBRASKA,1920076," 4",A-M,no comment.
" 93",sdt-firstname,lbpmf-name," 10780",ewj-city,1978/03/08,hxsp-street," 102",NEVADA,NV,,," 6",A-M,no comment.
" 118",qae-firstname,agndn-name," 15540",tpg-city,1990/05/15,ygzx-street," 166",NEVADA,NV,,," 6",A-M,no comment.
" 11",uph-firstname,igxbd-name," 13480",ndh-city,1962/12/03,jdcd-street," 151",NEW HAMPSHIRE,NH,,," 4",A-M,no comment.
" 34",iti-firstname,cjdml-name," 16900",wkq-city,1970/06/05,npow-street," 96",NEW HAMPSHIRE,NH,,," 4",A-M,no comment.
" 145",qrd-firstname,bknbv-name," 11500",mth-city,1970/04/16,ijle-street," 143",NEW HAMPSHIRE,NH,,," 4",A-M,no comment.
" 161",rcy-firstname,lklcm-name," 11960",ycf-city,1982/07/04,path-street," 179",NEW JERSEY,NJ,,," 5",A-M,no comment.
" 162",tlk-firstname,jcluy-name," 10380",lsi-city,1970/03/17,ugqr-street," 138",NEW JERSEY,NJ,,," 5",A-M,no comment.
" 23",gnw-firstname,eyeti-name," 17420",eko-city,1962/10/26,ylph-street," 61",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",A-M,no comment.
" 53",mmp-firstname,fuyla-name," 11840",hgu-city,1986/08/16,ixiz-street," 145",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",A-M,no comment.
" 195",sfx-firstname,bueoc-name," 10560",xhn-city,1970/08/29,zfin-street," 48",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",A-M,no comment.
" 49",ybz-firstname,akdmy-name," 14560",wtx-city,1962/11/08,nwba-street," 123",NORTHERN MARIANA ISLANDS,MP,,," 5",A-M,no comment.
" 136",efr-firstname,dbvkz-name," 13700",ujo-city,1958/05/14,louh-street," 22",NORTHERN MARIANA ISLANDS,MP,,," 5",A-M,no comment.
" 184",juh-firstname,lvbqi-name," 12780",rst-city,1958/12/18,wwko-street," 22",NORTHERN MARIANA ISLANDS,MP,,," 5",A-M,no comment.
" 13",hwg-firstname,dauuz-name," 13740",khn-city,1958/05/15,etqx-street," 5",OKLAHOMA,OK,OKLAHOMA,3930864," 7",A-M,no comment.
" 39",ucu-firstname,kwfnz-name," 10580",sns-city,1978/08/18,nnun-street," 20",OKLAHOMA,OK,OKLAHOMA,3930864," 7",A-M,no comment.
" 104",wxm-firstname,hdbiw-name," 12600",txy-city,1978/11/23,yfcx-street," 112",OKLAHOMA,OK,OKLAHOMA,3930864," 7",A-M,no comment.
" 131",cwt-firstname,mahci-name," 18240",wut-city,1982/08/02,zyse-street," 147",OREGON,OR,OREGON,4142776," 2",A-M,no comment.
" 169",ufk-firstname,ftpvt-name," 13600",wat-city,1954/10/16,nxax-street," 112",OREGON,OR,OREGON,4142776," 2",A-M,no comment.
" 8",uqd-firstname,kljcz-name," 13340",ntt-city,1987/01/15,jyje-street," 10",PALAU,PW,,," 4",A-M,no comment.
" 46",uqe-firstname,biluz-name," 17760",wkq-city,1962/07/27,embn-street," 183",PALAU,PW,,," 4",A-M,no comment.
" 68",ioq-firstname,jnypj-name," 17000",zqy-city,1986/01/09,croe-street," 119",PALAU,PW,,," 4",A-M,no comment.
" 183",pht-firstname,kobcl-name," 15820",nky-city,1978/05/14,vfnd-street," 176",PUERTO RICO,PR,,," 2",A-M,no comment.
" 32",mqz-firstname,lpstk-name," 18940",tnr-city,1982/09/16,cdhf-street," 4",SOUTH DAKOTA,SD,SOUTH DAKOTA,869666," 4",A-M,no comment.
" 88",axt-firstname,gitxz-name," 11800",fck-city,1974/01/12,tmjw-street," 189",SOUTH DAKOTA,SD,SOUTH DAKOTA,869666," 4",A-M,no comment.
" 21",upx-firstname,gctjx-name," 11960",yqr-city,1958/03/03,rlko-street," 141",TENNESSEE,TN,,," 1",A-M,no comment.
" 45",yxr-firstname,dqfmf-name," 13840",vie-city,1962/10/23,stvx-street," 39",TEXAS,TX,TEXAS,28304596," 4",A-M,no comment.
" 83",vur-firstname,iafxy-name," 11480",hgt-city,1962/08/03,hmec-street," 164",TEXAS,TX,TEXAS,28304596," 4",A-M,no comment.
" 134",jkm-firstname,japyi-name," 14960",jeo-city,1958/03/01,bsxv-street," 86",TEXAS,TX,TEXAS,28304596," 4",A-M,no comment.
" 130",vfp-firstname,eohex-name," 17000",gzc-city,1970/01/05,cvlk-street," 188",UTAH,UT,UTAH,3101833," 5",A-M,no comment.
" 191",hfa-firstname,bsvvw-name," 14180",kmn-city,1974/09/19,zvdw-street," 13",UTAH,UT,UTAH,3101833," 5",A-M,no comment.
" 43",ynb-firstname,msixi-name," 12720",ksl-city,1958/07/17,zpjw-street," 46",VIRGIN ISLANDS,VI,,," 2",A-M,no comment.
" 67",mjw-firstname,jnusz-name," 12640",nwb-city,1986/08/23,kcsa-street," 138",VIRGINIA,VA,VIRGINIA,8470020," 3",A-M,no comment.
" 192",qur-firstname,iwbao-name," 19500",jlk-city,1982/08/08,kllj-street," 113",WASHINGTON,WA,WASHINGTON,7405743," 4",A-M,no comment.
" 48",bta-firstname,denwt-name," 17300",hhj-city,1986/12/20,orwy-street," 11",WEST VIRGINIA,WV,WEST VIRGINIA,1815857," 4",A-M,no comment.
" 101",veo-firstname,iiapu-name," 10180",wdv-city,1954/05/29,ovyu-street," 55",WISCONSIN,WI,WISCONSIN,5795483," 3",A-M,no comment.
" 138",osn-firstname,bntsw-name," 15700",mmv-city,1966/07/28,loqs-street," 34",WYOMING,WY,WYOMING,579315," 3",A-M,no comment.
" 158",rht-firstname,jyqvl-name," 11120",qrk-city,1982/04/20,qbrn-street," 55",WYOMING,WY,WYOMING,579315," 3",A-M,no comment.
" 9",hcm-firstname,pgunz-name," 16680",gxh-city,1970/11/08,shbe-street," 184",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",N-Z,no comment.
" 52",jyy-firstname,snwnj-name," 16400",hsz-city,1966/02/15,imhl-street," 42",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",N-Z,no comment.
" 105",jws-firstname,oyher-name," 17900",bai-city,1978/12/30,tyil-street," 178",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",N-Z,no comment.
" 159",oqv-firstname,spfxh-name," 14740",gyh-city,1970/07/08,oiin-street," 59",NORTH CAROLINA,NC,NORTH CAROLINA,10273419," 7",N-Z,no comment.
" 73",ryo-firstname,vkojz-name," 14300",bmz-city,1954/09/11,gcpj-street," 71",NORTH DAKOTA,ND,NORTH DAKOTA,755393," 4",N-Z,no comment.
" 74",kld-firstname,pqzfw-name," 16400",qvq-city,1962/09/09,dhbv-street," 92",NORTH DAKOTA,ND,NORTH DAKOTA,755393," 4",N-Z,no comment.
" 149",hkb-firstname,tdmol-name," 11960",wbi-city,1970/06/03,wboh-street," 59",NORTH DAKOTA,ND,NORTH DAKOTA,755393," 4",N-Z,no comment.
" 200",ces-firstname,zbhue-name," 19840",ybc-city,1974/07/17,ktsw-street," 94",NORTH DAKOTA,ND,NORTH DAKOTA,755393," 4",N-Z,no comment.
" 102",wlx-firstname,qfawh-name," 11280",fad-city,1962/04/28,hibx-street," 188",NORTHERN MARIANA ISLANDS,MP,,," 5",N-Z,no comment.
" 119",tlb-firstname,qqhon-name," 19880",iif-city,1982/02/05,vsbj-street," 191",NORTHERN MARIANA ISLANDS,MP,,," 5",N-Z,no comment.
" 31",ndr-firstname,rhhxk-name," 16760",fub-city,1978/11/12,regd-street," 55",OKLAHOMA,OK,OKLAHOMA,3930864," 7",N-Z,no comment.
" 64",zbg-firstname,slkzv-name," 19880",oee-city,1978/11/01,sphg-street," 119",OKLAHOMA,OK,OKLAHOMA,3930864," 7",N-Z,no comment.
" 117",tyv-firstname,ypnsc-name," 16820",glg-city,1962/12/19,nysz-street," 13",OKLAHOMA,OK,OKLAHOMA,3930864," 7",N-Z,no comment.
" 189",ige-firstname,thimt-name," 12900",dqn-city,1966/05/07,bccw-street," 187",OKLAHOMA,OK,OKLAHOMA,3930864," 7",N-Z,no comment.
" 37",raa-firstname,udblf-name," 11500",wli-city,1978/12/13,xomd-street," 41",PALAU,PW,,," 4",N-Z,no comment.
" 7",xti-firstname,tkiat-name," 12720",stt-city,1966/08/11,tvnf-street," 21",PENNSYLVANIA,PA,PENNSYLVANIA,12805537," 1",N-Z,no comment.
" 179",mah-firstname,pehcm-name," 15940",azs-city,1970/05/07,hvvk-street," 9",PUERTO RICO,PR,,," 2",N-Z,no comment.
" 60",edm-firstname,rfvzu-name," 13340",kvz-city,1954/12/08,eijd-street," 4",RHODE ISLAND,RI,RHODE ISLAND,1059639," 2",N-Z,no comment.
" 98",sst-firstname,phszr-name," 13080",ydd-city,1954/09/23,quqn-street," 2",RHODE ISLAND,RI,RHODE ISLAND,1059639," 2",N-Z,no comment.
" 176",qie-firstname,tpgpm-name," 14960",opy-city,1958/07/14,uxfv-street," 158",SOUTH CAROLINA,SC,SOUTH CAROLINA,5024369," 1",N-Z,no comment.
